SCAN Output\bearings.mds                                                                                 
file_id:  15May 5 8L5 LWPM 2.1 c:\lwpcv21\output\bearings.mds
          ***
          ***
prgm_id:  LWPM 2.1
case_id:  OMEGA coverage of the Mediterranean
prfl_id:  LWPM Date: 04/15/84:2200                
xmtr_id                tlat    tlon   freq
omega-d                46.4    98.3   10.2
path_id                lat1    lon1   lat2    lon2
Bearings                0.0     0.0    0.0     0.0
bearng   rlat    rlon    rrho
  24.0   99.0     0.0      0.
mds    lat     lon    rho    azim    dip bfield   sigma epsr  beta   hpr  ndx
  4   54.4    87.8   1160.   50.4   80.2  0.582  3.E-03  15.  0.30  74.0    7.
  4   55.5    85.8   1340.   55.8   80.8  0.581  4.E+00  81.  0.30  74.0    7.
  4   59.1    78.3   1940.   77.1   82.0  0.575  1.E-04  10.  0.30  74.0    7.
  4   61.5    71.4   2400.   93.1   81.9  0.565  4.E+00  81.  0.30  74.0    7.
  4   62.5    67.8   2620.   99.5   81.6  0.560  3.E-04  10.  0.30  74.0    7.
  4   62.8    66.4   2700.  101.6   81.5  0.558  4.E+00  81.  0.30  74.0    7.
  4   63.0    65.3   2760.  103.1   81.4  0.556  3.E-04  10.  0.30  74.0    7.
  4   63.1    65.0   2780.  103.6   81.4  0.556  4.E+00  81.  0.30  74.0    7.
  4   65.3    51.8   3460.  115.9   79.9  0.537  1.E-04  10.  0.30  74.0    7.
  4   65.5    49.7   3560.  117.1   79.7  0.534  1.E-05   5.  0.30  74.0    7.
  4   66.1    35.2   4220.  122.8   78.1  0.517  4.E+00  81.  0.30  74.0    7.
